TRINITY_DN35070_c0_g1_i1.p1;Q6NS09;2.88e-34;31.208;99;Transmembrane protein 45B OS=Xenopus laevis OX=8355 GN=tmem45b PE=2 SV=1
TRINITY_DN35778_c0_g1_i1.p1;Q923L3;6.93e-07;33.333;80;CUB and sushi domain-containing protein 1 OS=Mus musculus OX=10090 GN=Csmd1 PE=1 SV=2
TRINITY_DN35778_c0_g1_i2.p1;A0JNA2;1.57e-06;27.103;82;Seizure protein 6 homolog OS=Bos taurus OX=9913 GN=SEZ6 PE=2 SV=1
TRINITY_DN38711_c0_g1_i1.p1;Q5UPS7;1.19e-64;44.064;86;Collagen-like protein 4 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_R240 PE=4 SV=1
TRINITY_DN38711_c0_g1_i1.p1;Q5UPS7;3.42e-62;40.104;86;Collagen-like protein 4 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_R240 PE=4 SV=1
TRINITY_DN39137_c0_g1_i2.p1;Q9W0Y2;3.86e-25;37.600;68;Putative gamma-glutamylcyclotransferase CG2811 OS=Drosophila melanogaster OX=7227 GN=CG2811 PE=2 SV=2
TRINITY_DN42435_c0_g1_i1.p1;Q6YI48;5.12e-32;31.556;99;Receptor-type tyrosine-protein phosphatase U OS=Gallus gallus OX=9031 GN=PTPRU PE=2 SV=1
TRINITY_DN42435_c0_g1_i1.p1;Q6YI48;2.76e-13;26.977;99;Receptor-type tyrosine-protein phosphatase U OS=Gallus gallus OX=9031 GN=PTPRU PE=2 SV=1
TRINITY_DN42515_c1_g1_i1.p1;E9Q236;7.48e-44;33.333;95;ATP-binding cassette sub-family C member 4 OS=Mus musculus OX=10090 GN=Abcc4 PE=1 SV=1
TRINITY_DN42561_c0_g1_i3.p1;B3FWU0;7.14e-11;43.333;41;Reducing polyketide synthase rdc5 OS=Metacordyceps chlamydosporia OX=280754 GN=rdc5 PE=1 SV=1
TRINITY_DN42601_c0_g1_i1.p1;Q09466;5.82e-17;54.054;73;ABC transporter ATP-binding protein/permease wht-3 OS=Caenorhabditis elegans OX=6239 GN=wht-3 PE=3 SV=1
TRINITY_DN43291_c0_g1_i1.p1;Q62059;7.28e-18;42.105;52;Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2
TRINITY_DN43339_c0_g1_i3.p1;A0AAA9T569;2.40e-170;32.754;99;ATP-binding cassette sub-family C member 4 OS=Bos taurus OX=9913 GN=ABCC4 PE=1 SV=1
TRINITY_DN43339_c0_g1_i3.p1;A0AAA9T569;9.84e-09;25.105;99;ATP-binding cassette sub-family C member 4 OS=Bos taurus OX=9913 GN=ABCC4 PE=1 SV=1
TRINITY_DN43390_c0_g1_i1.p1;O15439;1.86e-47;27.314;94;ATP-binding cassette sub-family C member 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3
TRINITY_DN43441_c0_g1_i2.p1;P05099;1.80e-39;28.082;93;Matrilin-1 OS=Gallus gallus OX=9031 GN=MATN1 PE=1 SV=2
TRINITY_DN43441_c0_g1_i2.p1;P05099;5.35e-26;32.751;93;Matrilin-1 OS=Gallus gallus OX=9031 GN=MATN1 PE=1 SV=2
TRINITY_DN43779_c1_g2_i1.p1;P98073;2.69e-38;42.553;90;Enteropeptidase OS=Homo sapiens OX=9606 GN=TMPRSS15 PE=1 SV=3
TRINITY_DN44002_c0_g1_i1.p1;P21551;8.52e-129;47.500;99;Protein Wnt-1 OS=Ambystoma mexicanum OX=8296 GN=WNT-1 PE=2 SV=1
TRINITY_DN44278_c0_g1_i2.p1;Q9VGJ5;2.08e-33;86.364;28;Protein Fer3 OS=Drosophila melanogaster OX=7227 GN=fer3 PE=2 SV=2
TRINITY_DN44474_c2_g1_i1.p1;Q91XQ5;2.78e-50;30.334;78;Carbohydrate sulfotransferase 15 OS=Mus musculus OX=10090 GN=Chst15 PE=2 SV=1
TRINITY_DN44673_c0_g1_i1.p1;Q91XQ5;5.42e-40;28.032;63;Carbohydrate sulfotransferase 15 OS=Mus musculus OX=10090 GN=Chst15 PE=2 SV=1
TRINITY_DN44944_c0_g1_i1.p1;O75596;6.29e-14;36.296;80;C-type lectin domain family 3 member A OS=Homo sapiens OX=9606 GN=CLEC3A PE=1 SV=1
TRINITY_DN44944_c0_g2_i1.p1;Q98TA4;6.88e-11;28.289;88;Mannose-binding protein OS=Gallus gallus OX=9031 GN=MBL PE=2 SV=2
TRINITY_DN44955_c6_g1_i1.p1;Q6ZTN6;0.0;55.538;99;Ankyrin repeat domain-containing protein 13D OS=Homo sapiens OX=9606 GN=ANKRD13D PE=1 SV=3
TRINITY_DN45145_c0_g1_i1.p1;Q9NBX4;1.53e-18;28.622;38;Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;7.33e-46;27.646;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;1.86e-45;30.137;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;4.27e-42;27.837;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;3.47e-40;29.750;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;2.30e-38;29.333;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;1.58e-36;29.360;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;4.35e-36;28.337;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;6.61e-31;31.126;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;3.73e-30;28.770;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
TRINITY_DN45281_c0_g1_i2.p1;P0C6B8;6.33e-25;30.566;75;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Svep1 PE=1 SV=1
